# color images
# file: 'rgbd_dataset_freiburg3_nostructure_texture_far.bag'
# timestamp filename
1341839845.462023 rgb/1341839845.462023.png
1341839845.497851 rgb/1341839845.497851.png
1341839845.529877 rgb/1341839845.529877.png
1341839845.562013 rgb/1341839845.562013.png
1341839845.598549 rgb/1341839845.598549.png
1341839845.629819 rgb/1341839845.629819.png
1341839845.665955 rgb/1341839845.665955.png
1341839845.698027 rgb/1341839845.698027.png
1341839845.730035 rgb/1341839845.730035.png
1341839845.766091 rgb/1341839845.766091.png
1341839845.798274 rgb/1341839845.798274.png
1341839845.833868 rgb/1341839845.833868.png
1341839845.865884 rgb/1341839845.865884.png
1341839845.897882 rgb/1341839845.897882.png
1341839845.933769 rgb/1341839845.933769.png
1341839845.966008 rgb/1341839845.966008.png
1341839845.997926 rgb/1341839845.997926.png
1341839846.033941 rgb/1341839846.033941.png
1341839846.065923 rgb/1341839846.065923.png
1341839846.101945 rgb/1341839846.101945.png
1341839846.133881 rgb/1341839846.133881.png
1341839846.165870 rgb/1341839846.165870.png
1341839846.201921 rgb/1341839846.201921.png
1341839846.233820 rgb/1341839846.233820.png
1341839846.266171 rgb/1341839846.266171.png
1341839846.302140 rgb/1341839846.302140.png
1341839846.333843 rgb/1341839846.333843.png
1341839846.369840 rgb/1341839846.369840.png
1341839846.402011 rgb/1341839846.402011.png
1341839846.433900 rgb/1341839846.433900.png
1341839846.469927 rgb/1341839846.469927.png
1341839846.501920 rgb/1341839846.501920.png
1341839846.535053 rgb/1341839846.535053.png
1341839846.569928 rgb/1341839846.569928.png
1341839846.602754 rgb/1341839846.602754.png
1341839846.637836 rgb/1341839846.637836.png
1341839846.669984 rgb/1341839846.669984.png
1341839846.701829 rgb/1341839846.701829.png
1341839846.737910 rgb/1341839846.737910.png
1341839846.769925 rgb/1341839846.769925.png
1341839846.805852 rgb/1341839846.805852.png
1341839846.837837 rgb/1341839846.837837.png
1341839846.869888 rgb/1341839846.869888.png
1341839846.906029 rgb/1341839846.906029.png
1341839846.938034 rgb/1341839846.938034.png
1341839846.969926 rgb/1341839846.969926.png
1341839847.006052 rgb/1341839847.006052.png
1341839847.037860 rgb/1341839847.037860.png
1341839847.073971 rgb/1341839847.073971.png
1341839847.105943 rgb/1341839847.105943.png
1341839847.137970 rgb/1341839847.137970.png
1341839847.173932 rgb/1341839847.173932.png
1341839847.206020 rgb/1341839847.206020.png
1341839847.238111 rgb/1341839847.238111.png
1341839847.273912 rgb/1341839847.273912.png
